id,handle,sku,name,variant_option_one_name,variant_option_one_value,variant_option_two_name,variant_option_two_value,variant_option_three_name,variant_option_three_value,supplier_name,active,inventory_Basement,inventory_Garage,inventory_JFK,inventory_Mt_Auburn,inventory_Quality_Graphics
022894d1-fd3d-11e7-e6e7-b50b66ddfe38,HarvardCrimsonHPin,1065,Harvard Crimson H Pin,Color,Crimson,,,,,Pin Badge Maker Company,1,865,28,15,13,0
022894d1-fd3d-11e7-e6e7-b50c39c8d7c6,HarvardKennedySchoolPin,871,Harvard Kennedy School Pin,Color,Crimson,,,,,Pin Badge Maker Company,1,1119,14,-5,0,0
022894d1-fd3d-11e7-e6e7-b50cfc518090,HarvardPin,894,Harvard Pin,Color,Crimson,,,,,Pin Badge Maker Company,1,943,26,14,-6,0
022894d1-fd3d-11e7-e6e7-b50f804ee8da,Harvard1636Pin,895,Harvard 1636 Pin,Color,Gold,,,,,Pin Badge Maker Company,1,861,6,6,13,0
022894d1-fd3d-11e7-e6e7-b5cec62b2d45,HSAPatagonia,11244,HSA Patagonia,Gender,mens,,,,,,1,-1,0,0,0,0
022894d1-fd3d-11e7-e6e7-b5cec676c79e,HSAPatagonia,11245,HSA Patagonia,Gender,womens,,,,,,1,0,0,0,0,0
022894d1-fd3d-11e7-e6e7-b5ceef542715,HSAHat,11246,HSA Hat,,,,,,,,1,-10,0,0,0,0
022894d1-fd3d-11e7-e6e7-b5cf091b517d,LetsGoHat,11247,Let's Go Hat,,,,,,,,1,-6,0,0,0,0
022894d1-fd3d-11e7-e6e7-b5cf1584406a,HSACamelbak,11248,HSA Camelbak,,,,,,,,1,-1,0,0,0,0
022894d1-fd3d-11e7-e6e7-b5cf22e5b743,LetsGoCamelbak,11249,Let's Go Camelbak,,,,,,,,1,-2,0,0,0,0
022894d1-fd3d-11e7-e6e7-b82a2f1cb3ee,TheSarahWaffleTee,11250,"The ""Sarah"" Waffle Tee",Color,Crimson,Size,S,,,The League,1,0,0,0,1,0
022894d1-fd3d-11e7-e6e7-b82d4a9967f0,TheSarahWaffleTee,11251,"The ""Sarah"" Waffle Tee",Color,Crimson,Size,M,,,The League,1,-1,0,0,1,0
022894d1-fd3d-11e7-e6e7-b82d4f58f7e2,TheSarahWaffleTee,11252,"The ""Sarah"" Waffle Tee",Color,Crimson,Size,L,,,The League,1,-4,3,0,4,0
022894d1-fd3d-11e7-e6e7-b82d5d3895b7,TheSarahWaffleTee,11253,"The ""Sarah"" Waffle Tee",Color,Crimson,Size,XL,,,The League,1,0,2,0,2,0
022894d1-fd3d-11e7-e6e7-bd9e9380049d,HarvardMensFlannelPants,11255,Harvard Mens Flannel Pants,Size,S,,,,,Concepts Sport,1,20,3,2,3,0
022894d1-fd3d-11e7-e6e7-bd9e99f0d73f,HarvardMensFlannelPants,11256,Harvard Mens Flannel Pants,Size,M,,,,,Concepts Sport,1,10,2,1,4,0
022894d1-fd3d-11e7-e6e7-bd9e9f3c3add,HarvardMensFlannelPants,11257,Harvard Mens Flannel Pants,Size,L,,,,,Concepts Sport,1,0,3,1,3,0
022894d1-fd3d-11e7-e6e7-bd9ea3b562b0,HarvardMensFlannelPants,11258,Harvard Mens Flannel Pants,Size,XL,,,,,Concepts Sport,1,-1,1,1,3,0
022894d1-fd3d-11e7-e6e7-be6b35f4fd12,HarvardSnowflakeBeanie,11259,Harvard Snowflake Beanie,Color,Crimson,,,,,Ouray,1,15,7,1,4,0
022894d1-fd3d-11e7-e6e7-c56c198e7421,SEASToteBag,11260,SEAS Tote Bag,,,,,,,Vineyard Vines,1,0,0,0,0,0
022894d1-fd3d-11e7-e6e7-ca06ee420cd2,RugbyStripedBeanie,11261,Rugby Striped Beanie,Color,Crimson,,,,,Apparel Empire,1,422,3,4,4,0
022f2cd5-6f02-11e2-b1f5-4040782fde00,3,3,USPS Express Mail,Title,Default,,,,,Freight,1,0,0,0,0,0
0274a24e-fd3d-11e6-f3f1-1a2e5e0990c4,HarvardZipperAppliqueHoodedSweatshirt,10642,Harvard Applique Full Zip,,,,,,,,,,,,,
0470ee26-6c33-11e2-b1f5-4040782fde00,HarvardYardPostcard,1142,Black & White Postcard,,,,,,,ICONCEPT,1,1518,91,87,55,0
05f1e95f-ddae-11e2-a415-bc764e10976c,Harvard3DWeeksBridgeMagnet,10095,Harvard 3D Weeks Bridge Magnet,,,,,,,Mahoney Publishing,1,400,31,18,0,0
060f02b1-c83d-11e6-e913-e24e768b1326,rush-shipping-charge,RushShippingCDefaultTitle,Rush Shipping Charge,,,,,,,The Harvard Shop,1,0,0,0,0,0
060f02b1-c83d-11e6-e913-f22d47e2beec,VacuumTumbler10oz,10851,Vacuum Tumbler 10 oz.,Color,Crimson,,,,,LXG,1,-35,11,7,2,0
060f02b1-c83d-11e6-e913-f22d48343ed4,VacuumTumbler10oz,10852,Vacuum Tumbler 10 oz.,Color,Black,,,,,LXG,1,20,8,4,5,0
060f02b1-c83d-11e6-e913-f22de12e9766,LeatherCrestKeychain,10853,Leather Crest Keychain,Color,Crimson,,,,,LXG,1,-8,14,11,-1,0
060f02b1-c83d-11e6-e913-f22dfca7205c,LeatherStrapKeychain,10854,Leather Strap Keychain,Color,Crimson,,,,,LXG,1,153,6,19,11,0
060f02b1-c83d-11e6-e913-f22e330872aa,LeatherLuggageTag,10855,Leather Luggage Tag,Color,Crimson,,,,,LXG,1,86,0,1,3,0
060f02b1-c83d-11e6-e913-f22ea8575f05,3-in-1LEDStylusPen,10856,3-in-1 LED Stylus Pen,Color,Crimson,,,,,LXG,1,-12,3,0,13,0
060f02b1-c83d-11e6-e913-f22ea8b5de9a,3-in-1LEDStylusPen,10857,3-in-1 LED Stylus Pen,Color,Black,,,,,LXG,1,-27,10,-5,13,0
060f02b1-c83d-11e6-e913-f22f7ca5b78c,CrestSpinnerKeychain,10860,Crest Spinner Keychain,Color,Crimson,,,,,LXG,1,-72,11,23,-1,0
060f02b1-c83d-11e6-e913-f3b9341fcf5b,MITRoundKeychain,60142,MIT Round Keychain,,,,,,,FREEDOM,1,49,0,0,0,0
060f02b1-c83d-11e6-e913-f3b934474ec1,MITMagnet,60132,MIT Magnet,,,,,,,FREEDOM,1,25,0,0,0,0
060f02b1-c83d-11e6-e913-f3b93460a10c,MITBinaryLogoHat,60129,MIT Binary Logo Hat,,,,,,,FREEDOM,1,13,0,0,0,0
060f02b1-c83d-11e6-e913-f3b9347a222a,MITOnesie,60133,MIT Onesie,Size,6 months,,,,,FREEDOM,1,23,0,0,0,0
060f02b1-c83d-11e6-e913-f3b93496e25b,MITOnesie,60134,MIT Onesie,Size,12 months,,,,,FREEDOM,1,24,0,0,0,0
060f02b1-c83d-11e6-e913-f3b934c5877e,MITOnesie,60135,MIT Onesie,Size,18 months,,,,,FREEDOM,1,18,0,0,0,0
060f02b1-c83d-11e6-e913-f3b934e0d859,MITOnesie,60136,MIT Onesie,Size,24 months,,,,,FREEDOM,1,16,0,0,0,0
060f02b1-c83d-11e6-e913-f3b934fbf790,WomensMITBinaryLogoT-Shirt,60148,Ladies MIT Binary Logo T-Shirt,Size,S,Color,Charcoal,,,FREEDOM,1,3,0,0,0,0
060f02b1-c83d-11e6-e913-f3b935149923,WomensMITBinaryLogoT-Shirt,60149,Ladies MIT Binary Logo T-Shirt,Size,M,Color,Charcoal,,,FREEDOM,1,7,0,0,0,0
060f02b1-c83d-11e6-e913-f3b9352ff4c5,WomensMITBinaryLogoT-Shirt,60150,Ladies MIT Binary Logo T-Shirt,Size,L,Color,Charcoal,,,FREEDOM,1,9,0,0,0,0
060f02b1-c83d-11e6-e913-f3b9354a13c2,WomensMITBinaryLogoT-Shirt,60151,Ladies MIT Binary Logo T-Shirt,Size,XL,Color,Charcoal,,,FREEDOM,1,10,0,0,0,0
060f02b1-c83d-11e6-e913-f3b935657e4f,YouthBinaryLogoT-Shirt,60138,Youth Binary Logo T-Shirt,Size,YXS,,,,,FREEDOM,1,28,0,0,0,0
060f02b1-c83d-11e6-e913-f3b9358050ec,YouthBinaryLogoT-Shirt,60139,Youth Binary Logo T-Shirt,Size,YS,,,,,FREEDOM,1,34,0,0,0,0
060f02b1-c83d-11e6-e913-f3b9359cb857,YouthBinaryLogoT-Shirt,60140,Youth Binary Logo T-Shirt,Size,YM,,,,,FREEDOM,1,34,0,0,0,0
060f02b1-c83d-11e6-e913-f3b935b61943,YouthBinaryLogoT-Shirt,60141,Youth Binary Logo T-Shirt,Size,YL,,,,,FREEDOM,1,34,0,0,0,0
060f02b1-c83d-11e6-e913-f3b935e9f774,MITContemporaryCinchBag,60130,MIT Contemporary Cinch Bag,,,,,,,Quality Graphics,1,176,0,0,0,0
060f02b1-c83d-11e6-e913-f3b93620c800,MITCrestCinchBag,60131,MIT Crest Cinch Bag,,,,,,,Quality Graphics,1,236,0,0,0,0
060f02b1-c83d-11e6-e913-f3b93639f493,MITRedPen,60137,MIT Pen,Color,Crimson,,,,,Quality,1,49,0,0,0,0
060f02b1-c83d-11e6-e913-f3b93652a30b,MITWhitePen,60147,MIT Pen,Color,White,,,,,Quality,1,134,0,0,0,0
060f02b1-c83d-11e6-e913-f3b9366b5358,MITArcT-Shirt,60125,MIT Arc T-Shirt,Size,S,Color,Oxford,,,Quality,1,5,0,0,0,0
060f02b1-c83d-11e6-e913-f3b93689df0b,MITArcT-Shirt,60126,MIT Arc T-Shirt,Size,M,Color,Oxford,,,Quality,1,2,0,0,0,0
060f02b1-c83d-11e6-e913-f3b936a4a9ac,MITArcT-Shirt,60127,MIT Arc T-Shirt,Size,L,Color,Oxford,,,Quality,1,0,0,0,0,0
060f02b1-c83d-11e6-e913-f3b936c0da95,MITArcT-Shirt,60128,MIT Arc T-Shirt,Size,XL,Color,Oxford,,,Quality,1,4,0,0,0,0
060f02b1-c83d-11e6-e913-f3b936dcb33b,MITEngineersVintageT-Shirt-Maroon,60016,MIT Engineers Vintage T-Shirt - Crimson,Size,S,Color,Crimson,,,MyU,1,14,0,0,0,0
060f02b1-c83d-11e6-e913-f3b936f87ad8,MITEngineersVintageT-Shirt-Maroon,60017,MIT Engineers Vintage T-Shirt - Crimson,Size,M,Color,Crimson,,,MyU,1,20,0,0,0,0
060f02b1-c83d-11e6-e913-f3b93715a1e6,MITEngineersVintageT-Shirt-Maroon,60018,MIT Engineers Vintage T-Shirt - Crimson,Size,L,Color,Crimson,,,MyU,1,0,0,0,0,0
060f02b1-c83d-11e6-e913-f3b9375087a4,MITEngineersVintageT-Shirt-Maroon,60019,MIT Engineers Vintage T-Shirt - Crimson,Size,XL,Color,Crimson,,,MyU,1,3,0,0,0,0
060f02b1-c83d-11e6-e913-f3b9376ca165,MITEngineersVintageT-Shirt-Charcoal,60020,MIT Engineers Vintage T-Shirt - Charcoal,Size,S,Color,Charcoal,,,MyU,1,7,0,0,0,0
060f02b1-c83d-11e6-e913-f3b937864170,MITEngineersVintageT-Shirt-Charcoal,60021,MIT Engineers Vintage T-Shirt - Charcoal,Size,M,Color,Charcoal,,,MyU,1,10,0,0,0,0
060f02b1-c83d-11e6-e913-f3b937a0c4bd,MITEngineersVintageT-Shirt-Charcoal,60022,MIT Engineers Vintage T-Shirt - Charcoal,Size,L,Color,Charcoal,,,MyU,1,0,0,0,0,0
060f02b1-c83d-11e6-e913-f3b937bd0a6e,MITEngineersVintageT-Shirt-Charcoal,60023,MIT Engineers Vintage T-Shirt - Charcoal,Size,XL,Color,Charcoal,,,MyU,1,0,0,0,0,0
060f02b1-c83d-11e6-e913-f3b937dae951,MITEngineersVintageT-Shirt-Gray,60024,MIT Engineers Vintage T-Shirt - Oxford,Size,S,Color,Oxford,,,MyU,1,17,0,0,0,0
060f02b1-c83d-11e6-e913-f3b937f726b5,MITEngineersVintageT-Shirt-Gray,60025,MIT Engineers Vintage T-Shirt - Oxford,Size,M,Color,Oxford,,,MyU,1,15,0,0,0,0
060f02b1-c83d-11e6-e913-f3b9381378c4,MITEngineersVintageT-Shirt-Gray,60026,MIT Engineers Vintage T-Shirt - Oxford,Size,L,Color,Oxford,,,MyU,1,3,0,0,0,0
060f02b1-c83d-11e6-e913-f3b9382fbfd6,MITEngineersVintageT-Shirt-Gray,60027,MIT Engineers Vintage T-Shirt - Oxford,Size,XL,Color,Oxford,,,MyU,1,4,0,0,0,0
060f02b1-c83d-11e6-e913-f3b9384afdd6,MITEngineerArcT-Shirt,60028,MIT Engineer Arc T-Shirt,Size,S,Color,Oxford,,,MyU,1,8,0,0,0,0
060f02b1-c83d-11e6-e913-f3b938652c03,MITEngineerArcT-Shirt,60029,MIT Engineer Arc T-Shirt,Size,M,Color,Oxford,,,MyU,1,8,0,0,0,0
060f02b1-c83d-11e6-e913-f3b938812c70,MITEngineerArcT-Shirt,60030,MIT Engineer Arc T-Shirt,Size,L,Color,Oxford,,,MyU,1,1,0,0,0,0
060f02b1-c83d-11e6-e913-f3b9389d9318,MITEngineerArcT-Shirt,60031,MIT Engineer Arc T-Shirt,Size,XL,Color,Oxford,,,MyU,1,0,0,0,0,0
060f02b1-c83d-11e6-e913-f3b938c5e2d3,MITColor-filledKeychain,60032,MIT Contemporary Logo Keychain,,,,,,,LXG,1,21,0,0,0,0
060f02b1-c83d-11e6-e913-f3b938e593b7,MITSpeckledCrestBistroMug,60033,MIT Speckled Crest Bistro Mug,Color,Crimson,,,,,LXG,1,3,0,0,0,0
060f02b1-c83d-11e6-e913-f3b93901f9db,MITSpeckledCrestBistroMug,60034,MIT Speckled Crest Bistro Mug,Color,Blue,,,,,LXG,1,9,0,0,0,0
060f02b1-c83d-11e6-e913-f3b9391e2a5f,MITSilverTumbler,60035,MIT Silver Tumbler Thermos,,,,,,,LXG,1,17,0,0,0,0
060f02b1-c83d-11e6-e913-f3b93950c122,MITEtchedCrestShotGlass,60037,MIT Etched Crest Shot Glass,,,,,,,LXG,1,12,0,0,0,0
060f02b1-c83d-11e6-e913-f3b9396971cb,MITLeatherKeychain,60038,MIT Leather Keychain,,,,,,,LXG,1,25,0,0,0,0
060f02b1-c83d-11e6-e913-f3b939ba98df,MITQuarterZipEmbroideredSweater,60041,MIT Quarter Zip Embroidered Sweater,Size,S,Color,Charcoal,,,Ouray,1,5,0,0,0,0
060f02b1-c83d-11e6-e913-f3b93d73a3f0,MITQuarterZipEmbroideredSweater,60045,MIT Quarter Zip Embroidered Sweater,Size,XXL,Color,Charcoal,,,Ouray,1,0,0,0,0,0
060f02b1-c83d-11e6-e913-f3b93da3f577,MITQuarterZipEmbroideredSweater,60042,MIT Quarter Zip Embroidered Sweater,Size,M,Color,Charcoal,,,Ouray,1,0,0,0,0,0
060f02b1-c83d-11e6-e913-f3b93dc2ffd6,MITQuarterZipEmbroideredSweater,60043,MIT Quarter Zip Embroidered Sweater,Size,L,Color,Charcoal,,,Ouray,1,0,0,0,0,0
060f02b1-c83d-11e6-e913-f3b93de0e896,MITQuarterZipEmbroideredSweater,60044,MIT Quarter Zip Embroidered Sweater,Size,XL,Color,Charcoal,,,Ouray,1,4,0,0,0,0
060f02b1-c83d-11e6-e913-f3b93dfbd497,MITLargePennant,60046,MIT Large Pennant,,,,,,,Collegiate Pacific,1,50,0,0,0,0
060f02b1-c83d-11e6-e913-f3b9432415b3,BostonHoodedSweatshirt,60000,Boston Hooded Sweatshirt,Color,Heather,Size,Small,,,Alan Freedman Enterprises,1,0,0,0,0,0
060f02b1-c83d-11e6-e913-f3b943e0e8c8,BostonHoodedSweatshirt,60001,Boston Hooded Sweatshirt,Color,Heather,Size,Medium,,,Alan Freedman Enterprises,1,0,0,0,0,0
060f02b1-c83d-11e6-e913-f3b94498da78,BostonHoodedSweatshirt,60002,Boston Hooded Sweatshirt,Color,Heather,Size,Large,,,Alan Freedman Enterprises,1,0,0,0,0,0
060f02b1-c83d-11e6-e913-f3b944d0ce99,BostonHoodedSweatshirt,60003,Boston Hooded Sweatshirt,Color,Heather,Size,X-Large,,,Alan Freedman Enterprises,1,16,0,0,0,0
060f02b1-c83d-11e6-e913-f3b944eb99ba,BostonHoodedSweatshirt,60004,Boston Hooded Sweatshirt,Color,Navy,Size,Small,,,Alan Freedman Enterprises,1,0,0,0,0,0
060f02b1-c83d-11e6-e913-f3b9457ae10c,BostonHoodedSweatshirt,60005,Boston Hooded Sweatshirt,Color,Navy,Size,Medium,,,Alan Freedman Enterprises,1,0,0,0,0,0
060f02b1-c83d-11e6-e913-f3b9459708e1,BostonHoodedSweatshirt,60006,Boston Hooded Sweatshirt,Color,Navy,Size,Large,,,Alan Freedman Enterprises,1,0,0,0,0,0
060f02b1-c83d-11e6-e913-f3b945c3edd7,BostonHoodedSweatshirt,60007,Boston Hooded Sweatshirt,Color,Navy,Size,X-Large,,,Alan Freedman Enterprises,1,0,0,0,0,0
060f02b1-c83d-11e6-e913-f3b94654081b,BostonCollegeT-Shirt,60055,Boston College T-Shirt,Size,Small,,,,,Alan Freedman Enterprises,1,4,0,0,0,0
060f02b1-c83d-11e6-e913-f3b9470b3227,BostonCollegeT-Shirt,60056,Boston College T-Shirt,Size,Medium,,,,,Alan Freedman Enterprises,1,5,0,0,0,0
060f02b1-c83d-11e6-e913-f3b947809281,BostonCollegeT-Shirt,60057,Boston College T-Shirt,Size,Large,,,,,Alan Freedman Enterprises,1,4,0,0,0,0
060f02b1-c83d-11e6-e913-f3b947ad9390,BostonCollegeT-Shirt,60058,Boston College T-Shirt,Size,X-Large,,,,,Alan Freedman Enterprises,1,6,0,0,0,0
060f02b1-c83d-11e6-e913-f3b9482e64ba,MITT-Shirt,60059,MIT T-Shirt,Color,Oxford,Size,S,,,FREEDOM,1,10,0,0,0,0
060f02b1-c83d-11e6-e913-f3b94847d620,MITT-Shirt,60060,MIT T-Shirt,Color,Oxford,Size,M,,,FREEDOM,1,8,0,0,0,0
060f02b1-c83d-11e6-e913-f3b948812f84,MITT-Shirt,60061,MIT T-Shirt,Color,Oxford,Size,L,,,FREEDOM,1,0,0,0,0,0
060f02b1-c83d-11e6-e913-f3b948a8c098,MITT-Shirt,60062,MIT T-Shirt,Color,Oxford,Size,XL,,,FREEDOM,1,2,0,0,0,0
060f02b1-c83d-11e6-e913-f3b94903dec9,MITT-Shirt,60063,MIT T-Shirt,Color,Crimson,Size,S,,,FREEDOM,1,7,0,0,0,0
060f02b1-c83d-11e6-e913-f3b9495f5328,MITT-Shirt,60064,MIT T-Shirt,Color,Crimson,Size,M,,,FREEDOM,1,10,0,0,0,0
060f02b1-c83d-11e6-e913-f3b949c903b8,MITT-Shirt,60065,MIT T-Shirt,Color,Crimson,Size,L,,,FREEDOM,1,5,0,0,0,0
060f02b1-c83d-11e6-e913-f3b949f96774,MITT-Shirt,60066,MIT T-Shirt,Color,Crimson,Size,XL,,,FREEDOM,1,3,0,0,0,0
060f02b1-c83d-11e6-e913-f3b94ba7e6ec,MITHoodedSweatshirt,60071,MIT Hooded Sweatshirt,Color,Oxford,Size,S,,,FREEDOM,1,0,0,0,0,0
060f02b1-c83d-11e6-e913-f3b94bf16e41,MITHoodedSweatshirt,60072,MIT Hooded Sweatshirt,Color,Oxford,Size,M,,,FREEDOM,1,0,0,0,0,0
060f02b1-c83d-11e6-e913-f3b94c21c135,MITHoodedSweatshirt,60073,MIT Hooded Sweatshirt,Color,Oxford,Size,L,,,FREEDOM,1,0,0,0,0,0
060f02b1-c83d-11e6-e913-f3b94c9ed4de,MITHoodedSweatshirt,60074,MIT Hooded Sweatshirt,Color,Oxford,Size,XL,,,FREEDOM,1,0,0,0,0,0
060f02b1-c83d-11e6-e913-f3b94d335c85,MITHoodedSweatshirt,60075,MIT Hooded Sweatshirt,Color,Crimson,Size,S,,,FREEDOM,1,-1,0,0,0,0
060f02b1-c83d-11e6-e913-f3b94d588560,MITHoodedSweatshirt,60076,MIT Hooded Sweatshirt,Color,Crimson,Size,M,,,FREEDOM,1,0,0,0,0,0
060f02b1-c83d-11e6-e913-f3b94ddab9df,MITHoodedSweatshirt,60077,MIT Hooded Sweatshirt,Color,Crimson,Size,L,,,FREEDOM,1,0,0,0,0,0
060f02b1-c83d-11e6-e913-f3b94e42d132,MITHoodedSweatshirt,60078,MIT Hooded Sweatshirt,Color,Crimson,Size,XL,,,FREEDOM,1,11,0,0,0,0
060f02b1-c83d-11e6-e913-f3b94e910834,MITCrewSweatshirt,60079,MIT Crew Sweatshirt,Size,S,Color,Oxford,,,FREEDOM,1,0,0,0,0,0
060f02b1-c83d-11e6-e913-f3b954c27dcd,MITCrewSweatshirt,60080,MIT Crew Sweatshirt,Size,M,Color,Oxford,,,FREEDOM,1,0,0,0,0,0
060f02b1-c83d-11e6-e913-f3b955129759,MITCrewSweatshirt,60081,MIT Crew Sweatshirt,Size,L,Color,Oxford,,,FREEDOM,1,0,0,0,0,0
060f02b1-c83d-11e6-e913-f3b955a7501f,MITCrewSweatshirt,60082,MIT Crew Sweatshirt,Size,XL,Color,Oxford,,,FREEDOM,1,0,0,0,0,0
060f02b1-c83d-11e6-e913-f3b9562e0341,MITMug,60083,MIT Mug,,,,,,,FREEDOM,1,36,0,0,0,0
060f02b1-c83d-11e6-e913-f3b956871ddf,BostonApparelCompanyT-Shirt,60084,Boston Apparel Company T-Shirt,Size,S,Color,Navy,,,Quality Graphics,1,31,0,0,0,0
060f02b1-c83d-11e6-e913-f3b9570a1c6a,BostonApparelCompanyT-Shirt,60085,Boston Apparel Company T-Shirt,Size,M,Color,Navy,,,Quality Graphics,1,4,0,0,0,0
060f02b1-c83d-11e6-e913-f3b957367e25,BostonApparelCompanyT-Shirt,60086,Boston Apparel Company T-Shirt,Size,L,Color,Navy,,,Quality Graphics,1,21,0,0,0,0
060f02b1-c83d-11e6-e913-f3b957d0c8f4,BostonApparelCompanyT-Shirt,60087,Boston Apparel Company T-Shirt,Size,XL,Color,Navy,,,Quality Graphics,1,19,0,0,0,0
060f02b1-c83d-11e6-e913-f3b9580a7a99,YouthBostonArcT-Shirt,60088,Youth Boston Arc T-Shirt,Size,XS,Color,Oxford,,,FREEDOM,1,8,0,0,0,0
060f02b1-c83d-11e6-e913-f3b958576d97,YouthBostonArcT-Shirt,60089,Youth Boston Arc T-Shirt,Size,S,Color,Oxford,,,FREEDOM,1,11,0,0,0,0
060f02b1-c83d-11e6-e913-f3b958813e98,YouthBostonArcT-Shirt,60090,Youth Boston Arc T-Shirt,Size,M,Color,Oxford,,,FREEDOM,1,3,0,0,0,0
